1;1000123456;1500000;1650000;10;01/09/2025;01/10/2025;1
2;2000234567;2000000;2300000;15;02/09/2025;02/10/2025;1
3;3000345678;1000000;1200000;20;03/09/2025;03/10/2025;1
4;4000456789;3000000;3300000;10;04/09/2025;04/10/2025;1
5;5000567890;800000;920000;15;05/09/2025;05/10/2025;1
6;6000678901;2200000;2640000;20;06/09/2025;06/10/2025;1
7;7000789012;5000000;5500000;10;07/09/2025;07/10/2025;1
8;8000890123;1300000;1495000;15;08/09/2025;08/10/2025;1
9;9000901234;4000000;4800000;20;09/09/2025;09/10/2025;1
10;1001012345;1800000;1980000;10;10/09/2025;10/10/2025;1
11;1101123456;2500000;2875000;15;11/09/2025;11/10/2025;1
12;1201234567;900000;1080000;20;12/09/2025;12/10/2025;1
13;1301345678;2100000;2310000;10;13/09/2025;13/10/2025;1
14;1401456789;2400000;2760000;15;14/09/2025;14/10/2025;1
15;1501567890;1200000;1440000;20;15/09/2025;15/10/2025;1
16;1601678901;3500000;3850000;10;16/09/2025;16/10/2025;1
17;1701789012;1700000;1955000;15;17/09/2025;17/10/2025;1
18;1801890123;2800000;3360000;20;18/09/2025;18/10/2025;1
19;1901901234;1400000;1540000;10;19/09/2025;19/10/2025;1
20;2002012345;3200000;3680000;15;20/09/2025;20/10/2025;1
21;2102123456;1900000;2280000;20;21/09/2025;21/10/2025;1
22;2202234567;2300000;2530000;10;22/09/2025;22/10/2025;1
23;2302345678;1600000;1840000;15;23/09/2025;23/10/2025;1
24;2402456789;2900000;3480000;20;24/09/2025;24/10/2025;1
25;2502567890;1500000;1650000;10;25/09/2025;25/10/2025;1
26;2602678901;3300000;3795000;15;26/09/2025;26/10/2025;1
27;2702789012;2000000;2400000;20;27/09/2025;27/10/2025;1
28;2802890123;2700000;2970000;10;28/09/2025;28/10/2025;1
29;2902901234;1100000;1265000;15;29/09/2025;29/10/2025;1
30;3003012345;4000000;4800000;20;30/09/2025;30/10/2025;1
31;3103123456;2300000;2530000;10;01/10/2025;31/10/2025;1
32;3203234567;2500000;2875000;15;02/10/2025;01/11/2025;1
33;3303345678;1200000;1440000;20;03/10/2025;02/11/2025;1
34;3403456789;3000000;3300000;10;04/10/2025;03/11/2025;1
35;3503567890;1700000;1955000;15;05/10/2025;04/11/2025;1
36;3603678901;3500000;4200000;20;06/10/2025;05/11/2025;1
37;3703789012;1800000;1980000;10;07/10/2025;06/11/2025;1
38;3803890123;2900000;3335000;15;08/10/2025;07/11/2025;1
39;3903901234;1500000;1800000;20;09/10/2025;08/11/2025;1
40;4004012345;3800000;4180000;10;10/10/2025;09/11/2025;1
41;4104123456;2200000;2530000;15;11/10/2025;10/11/2025;1
42;4204234567;2600000;3120000;20;12/10/2025;11/11/2025;1
43;4304345678;1300000;1430000;10;13/10/2025;12/11/2025;1
44;4404456789;2800000;3220000;15;14/10/2025;13/11/2025;1
45;4504567890;1900000;2280000;20;15/10/2025;14/11/2025;1
46;4604678901;3100000;3410000;10;16/10/2025;15/11/2025;1
47;4704789012;2400000;2760000;15;17/10/2025;16/11/2025;1
48;4804890123;3600000;4320000;20;18/10/2025;17/11/2025;1
49;4904901234;1500000;1650000;10;19/10/2025;18/11/2025;1
50;5005012345;4200000;4830000;15;20/10/2025;19/11/2025;1
12312312312025-09-11;1231231231;3000000;3450000;15;2025-09-11T20:35;2025-09-11T20:35;True
